,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
924,YOUR VATICAN TERRACE,7.8,"Double Room with Private Bathroom
1 large double bed
Only 3 rooms left at this price on our site",€ 810,"Trionfale, RomeShow on map2.8 km from centreMetro access","Boasting a terrace and views of inner courtyard, YOUR VATICAN TERRACE is a recently renovated homestay situated in Rome, 300 metres from Vatican Museums. The property is set 1.3 km from St Peter's Square, 1.2 km from The Vatican and 1.5 km from St. Peter's Basilica. The homestay has family rooms.

All units feature air conditioning and a flat-screen TV. Every unit is equipped with a coffee machine, a private bathroom and free WiFi, while certain rooms come with a balcony and some have city views. At the homestay, the units have bed linen and towels.

Popular points of interest near the homestay include Ottaviano Metro Station, Lepanto Metro Station and Castel Sant'Angelo. The nearest airport is Fiumicino Airport, 27 km from YOUR VATICAN TERRACE.",€ 729
927,Dream House spazioso appartamento tra Policlinico e Piazza Bologna,9.3,"Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 98m²
3 beds (2 singles, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 932,"Nomentano, RomeShow on map3 km from centreMetro access","Located in Rome, 1 km from Sapienza University of Rome and less than 1 km from Bologna Metro Station, Dream House spazioso appartamento tra Policlinico e Piazza Bologna provides air-conditioned accommodation with a balcony and free WiFi. With quiet street views, this accommodation offers a patio. The property is non-smoking and is set 1.6 km from Tiburtina Metro Station.

The spacious apartment with a terrace and city views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a bidet. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Roma Tiburtina Train Station, Rome Termini Train Station and Rome Termini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from Dream House spazioso appartamento tra Policlinico e Piazza Bologna.",€ 932
929,Rometobe,8.8,"Small Double Room
1 double bed
Only 1 room left at this price on our site","€ 1,297","Vaticano Prati, RomeShow on map2.9 km from centreMetro access","You're eligible for a Genius discount at Rometobe! To save at this property, all you have to do is sign in.
Situated in Rome's Prati neighbourhood, Rometobe is a 10-minute walk from Piazza San Pietro and 650 from Vatican Museum. This bed and breakfast offers elegant rooms and free Wi-Fi throughout.

All air conditioned, these rooms feature a minibar, an LED TV and a safe. The private bathroom includes a hairdryer and free toiletries.

Ottaviano Metro Station on Line A is 500 metres away from the building. It has connections to the Spanish Steps, Trevi Fountain and Termini Train Station. Rome Fiumicino Airport is 30 km away.","€ 1,402"
932,Cento Passi dal Vaticano,8.5,"Double Room with Private Bathroom
1 large double bed
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site","€ 1,152","Trionfale, RomeShow on map2.8 km from centreMetro access","You're eligible for a Genius discount at Cento Passi dal Vaticano! To save at this property, all you have to do is sign in.
Just 120 metres from the Vatican Museums, Cento Passi dal Vaticano is located in the centre of Rome. Offering free Wi-Fi, the property is less than a 15-minute walk from Saint Peter’s Square.

With a private bathroom, the air-conditioned rooms come with a flat-screen TV, wardrobe and heating.

The property is 450 metres from the Cipro Metro stop, linking to Termini Train Station in 15 minutes.","€ 1,152"
939,iFlat The Flowers of Rome,9.2,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 70m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,555","Navona, RomeShow on map1.2 km from centre","Located in the centre of Rome, 800 metres from Castel Sant'Angelo and 1.2 km from St Peter's Square, iFlat The Flowers of Rome offers free WiFi and air conditioning. The property is set 700 metres from Campo de' Fiori, less than 1 km from Pantheon and a 15-minute walk from Trevi Fountain. Palazzo Venezia is 1.5 km from the apartment and Via Condotti is 1.2 km away.

The spacious apartment is composed of 1 bedroom, a living room, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include The Vatican, Piazza Navona and Largo di Torre Argentina. The nearest airport is Rome Ciampino Airport, 18 km from iFlat The Flowers of Rome.","€ 1,582"
941,Lemei House,7.3,"Double Room
1 large double bed
Free cancellation
Only 3 rooms left at this price on our site",€ 692,"Central Station, RomeShow on map1.8 km from centreMetro access","Situated in the centre of Rome, Lemei House features accommodation with free WiFi in a historic building. It is located 500 metres from Vittorio Emanuele Metro Station and provides a lift. The bed and breakfast features family rooms.

Every unit has a private bathroom and shower, air conditioning, a TV and a fridge. For added convenience, the property can provide towels and linens for a supplement. All units have a wardrobe.

Popular points of interest near the bed and breakfast include Santa Maria Maggiore, Cavour Metro Station and Rome Termini Metro Station. The nearest airport is Rome Ciampino Airport, 13 km from Lemei House.",€ 692
942,Lemei House,7.3,"Double Room
1 large double bed
Free cancellation
Only 3 rooms left at this price on our site",€ 692,"Central Station, RomeShow on map1.8 km from centreMetro access","Situated in the centre of Rome, Lemei House features accommodation with free WiFi in a historic building. It is located 500 metres from Vittorio Emanuele Metro Station and provides a lift. The bed and breakfast features family rooms.

Every unit has a private bathroom and shower, air conditioning, a TV and a fridge. For added convenience, the property can provide towels and linens for a supplement. All units have a wardrobe.

Popular points of interest near the bed and breakfast include Santa Maria Maggiore, Cavour Metro Station and Rome Termini Metro Station. The nearest airport is Rome Ciampino Airport, 13 km from Lemei House.",€ 692
945,Cowsin House,7.6,"Studio
Entire studio • 1 bathroom • 20m²
1 double bed
Free cancellation
Only 1 left at this price on our site",€ 756,"Central Station, RomeShow on map2.6 km from centre","Offering free WiFi, Cowsin House is located in Rome, just 150 metres from Porta Maggiore. Manzoni Metro Station is a 10-minute walk away.

Simply furnished apartments here feature satellite flat-screen TV and a kitchenette. Each has a bathroom with a hairdryer.

The Basilica of Saint John Lateran is 1 km from Cowsin House. The Coliseum is a 20-minute walk away.",€ 732
948,9 minutes from Termini - Loft with free Wi-Fi and Netflix,,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 double, 1 sofa bed)",€ 952,"Nomentano, RomeShow on map2.9 km from centreMetro access","Offering inner courtyard views, 9 minutes from Termini - Loft with free Wi-Fi and Netflix is an accommodation located in Rome, 1.4 km from Sapienza University of Rome and 1.9 km from Rome Termini Train Station. The property is situated 2.2 km from Roma Tiburtina Train Station, 3 km from Barberini Metro Station and 3.1 km from Santa Maria Maggiore. Free WiFi is available throughout the property and Bologna Metro Station is 1 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Rome Termini Metro Station, Tiburtina Metro Station and Repubblica - Teatro dell'Opera Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from 9 minutes from Termini - Loft with free Wi-Fi and Netflix.",€ 952
957,Cornelia - Charme Apartment,,"Two-Bedroom Apartment
3 beds (1 sofa bed, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 1,940","Aurelio, RomeShow on map4.6 km from centreMetro access","Cornelia - Charme Apartment is recently renovated and includes a living room with a flat-screen TV. The air-conditioned accommodation is 3 km from St. Peter's Basilica. Free WiFi is available throughout the property and Battistini Metro Station is 1.4 km away.

The apartment is composed of 2 bedrooms, a fully equipped kitchenette, and 2 bathrooms. The accommodation is non-smoking.

Vatican Museums is 3 km from the apartment, while Ottaviano Metro Station is 3.1 km from the property. The nearest airport is Fiumicino Airport, 25 km from Cornelia - Charme Apartment.","€ 1,940"
958,Pigneto Delightful Apartment,7.8,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²
3 beds (1 sofa bed, 2 large doubles)
Free cancellation","€ 1,289",RomeShow on map3.7 km from centreMetro access,"Located 2.1 km from Vittorio Emanuele Metro Station, 2.7 km from Sapienza University of Rome and 2 km from San Giovanni Metro Station, Pigneto Delightful Apartment provides accommodation set in Rome. The property is around 3.2 km from Ponte Lungo Metro Station, 3.2 km from Santa Maria Maggiore and 3.4 km from Rome Termini Train Station. Free WiFi is available throughout the property and Porta Maggiore is 1.1 km away.

The spacious apartment features 2 bedrooms, a living room with a flat-screen TV, an equipped kitchen, and 2 bathrooms with a bidet and a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Rome Termini Metro Station is 3.6 km from the apartment, while Tiburtina Metro Station is 4.7 km away. The nearest airport is Rome Ciampino Airport, 14 km from Pigneto Delightful Apartment.","€ 1,288"
961,Casa vacanza Colosseo 2,8.3,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms
2 double beds
Free cancellation
Only 1 left at this price on our site","€ 1,449","Rione Monti, RomeShow on map1 km from centreMetro access","Set in the centre of Rome, 200 metres from Cavour Metro Station and 400 metres from Santa Maria Maggiore, Casa vacanza Colosseo 2 offers free WiFi and air conditioning. The property is close to Rome Termini Metro Station, Rome Termini Train Station and Quirinal Hill. Vittorio Emanuele Metro Station is 1 km from the apartment and Repubblica - Teatro dell'Opera Metro Station is less than 1 km away.

All units feature a flat-screen TV, a private bathroom and a fully equipped kitchen.

Popular points of interest near the apartment include Colosseo Metro Station, Domus Aurea and Coliseum. The nearest airport is Rome Ciampino Airport, 14 km from Casa vacanza Colosseo 2.","€ 1,449"
